"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2025","1,020.80","1,023.40","1,036.30","1,008.70","25.88K","-0.15%"
"02/06/2025","1,022.30","1,018.40","1,029.40","1,010.60","22.92K","-0.34%"
"02/05/2025","1,025.80","1,011.70","1,027.40","1,007.40","25.68K","1.32%"
"02/04/2025","1,012.40","1,002.80","1,019.50","989.80","28.43K","0.99%"
"02/03/2025","1,002.50","1,045.10","1,046.70","996.60","45.37K","-3.95%"
"01/31/2025","1,043.70","1,027.10","1,045.60","1,023.30","38.53K","1.63%"
"01/30/2025","1,027.00","979.30","1,029.50","978.90","43.66K","5.70%"
"01/29/2025","971.60","952.90","975.70","950.00","0.09K","1.90%"
"01/28/2025","953.50","956.50","956.70","947.00","0.13K","-0.06%"
"01/27/2025","954.10","954.60","958.50","945.60","0.11K","-1.25%"
"01/24/2025","966.20","975.80","977.20","965.30","0.07K","0.19%"
"01/23/2025","964.40","961.60","965.00","953.80","0.06K","-0.69%"
"01/22/2025","971.10","969.50","974.30","960.90","19.77K","0.03%"
"01/21/2025","970.80","965.20","972.70","946.70","35.28K","0.55%"
"01/17/2025","965.50","942.00","968.10","939.10","27.16K","1.80%"
"01/16/2025","948.40","948.90","957.10","938.50","21.93K","0.31%"
"01/15/2025","945.50","949.30","957.50","941.20","29.51K","-0.41%"
"01/14/2025","949.40","970.30","974.90","947.40","28.78K","-2.64%"
"01/13/2025","975.10","992.50","997.20","969.00","27.43K","-2.11%"
"01/10/2025","996.10","984.80","1,001.30","978.50","29.64K","1.19%"
"01/09/2025","984.40","984.10","987.60","974.70","22.77K","0.07%"
"01/08/2025","983.70","975.50","987.90","971.40","28.24K","0.72%"
"01/07/2025","976.70","945.50","979.30","942.90","34.25K","3.60%"
"01/06/2025","942.80","944.90","963.40","938.10","28.04K","-0.58%"
"01/03/2025","948.30","925.00","949.50","924.40","28.14K","2.81%"
"01/02/2025","922.40","910.30","928.50","909.40","26.28K","1.31%"
"12/31/2024","910.50","916.80","921.00","907.40","20.95K","-1.01%"
"12/30/2024","919.80","936.50","941.30","913.60","32.52K","-1.15%"
"12/27/2024","930.50","930.50","930.50","930.50","","-3.59%"
"12/26/2024","965.10","962.60","969.80","958.20","17.16K","0.03%"
"12/24/2024","964.80","954.10","967.10","953.10","12.42K","1.40%"
"12/23/2024","951.50","940.40","955.40","940.10","20.88K","1.08%"
"12/20/2024","941.30","935.40","943.50","929.00","19.75K","0.79%"
"12/19/2024","933.90","935.00","943.50","929.90","20.25K","-1.27%"
"12/18/2024","945.90","956.10","959.70","933.40","12.21K","-1.07%"
"12/17/2024","956.10","955.30","958.80","940.80","9.26K","0.10%"
"12/16/2024","955.10","941.00","960.70","934.30","6.09K","1.84%"
"12/13/2024","937.80","952.50","957.80","935.00","8.02K","-1.83%"
"12/12/2024","955.30","964.10","975.40","953.20","9.28K","-0.99%"
"12/11/2024","964.90","959.50","968.20","952.90","8.59K","0.47%"
"12/10/2024","960.40","958.80","963.50","948.50","7.82K","-0.46%"
"12/09/2024","964.80","947.20","975.20","944.00","7.69K","2.16%"
"12/06/2024","944.40","955.00","962.60","943.00","5.50K","-0.77%"
"12/05/2024","951.70","959.20","967.10","950.60","3.57K","-1.21%"
"12/04/2024","963.40","966.50","968.00","945.80","5.52K","-0.68%"
"12/03/2024","970.00","962.10","974.20","956.00","3.49K","1.01%"
"12/02/2024","960.30","961.10","962.60","951.00","2.67K","-0.36%"
"11/29/2024","963.80","944.60","966.20","940.00","1.71K","2.35%"
"11/27/2024","941.70","941.90","953.00","939.00","2.17K","0.72%"
"11/26/2024","935.00","938.20","940.10","926.50","0.07K","-1.97%"
"11/25/2024","953.80","980.50","985.00","952.50","3.00K","-3.06%"
"11/22/2024","983.90","977.40","987.50","972.60","1.36K","0.47%"
"11/21/2024","979.30","976.40","983.00","968.50","2.11K","0.46%"
"11/20/2024","974.80","988.10","990.20","972.80","0.73K","-1.28%"
"11/19/2024","987.40","981.20","991.30","976.50","1.49K","0.41%"
"11/18/2024","983.40","957.90","984.70","957.90","0.97K","3.08%"
"11/15/2024","954.00","950.70","965.10","948.00","0.66K","0.13%"
"11/14/2024","952.80","950.00","957.00","941.70","0.97K","0.03%"
"11/13/2024","952.50","960.80","969.20","949.70","1.06K","-0.47%"
"11/12/2024","957.00","979.00","980.30","954.30","1.40K","-2.18%"
"11/11/2024","978.30","987.00","1,003.10","975.70","0.81K","-0.91%"
"11/08/2024","987.30","1,013.80","1,016.50","981.50","2.93K","-2.08%"
"11/07/2024","1,008.30","1,002.40","1,014.80","991.30","1.76K","0.64%"
"11/06/2024","1,001.90","1,016.90","1,016.90","981.40","1.21K","-1.37%"
"11/05/2024","1,015.80","998.60","1,021.10","996.60","0.44K","1.62%"
"11/04/2024","999.60","1,016.00","1,018.30","995.80","0.75K","-1.23%"
"11/01/2024","1,012.00","1,008.00","1,021.70","1,003.70","0.86K","0.32%"
"10/31/2024","1,008.80","1,029.00","1,029.00","1,003.30","0.91K","-2.13%"
"10/30/2024","1,030.80","1,069.50","1,073.10","1,028.90","1.12K","-2.69%"
"10/29/2024","1,059.30","1,044.00","1,063.40","1,042.50","20.36K","1.19%"
"10/28/2024","1,046.80","1,034.70","1,049.60","1,025.50","19.58K","0.97%"
"10/25/2024","1,036.70","1,038.00","1,038.80","1,012.60","26.96K","0.30%"
"10/24/2024","1,033.60","1,029.20","1,053.40","1,028.60","27.47K","0.38%"
"10/23/2024","1,029.70","1,041.70","1,048.70","1,024.10","25.40K","-1.12%"
"10/22/2024","1,041.40","1,016.50","1,042.70","1,014.10","22.97K","2.42%"
"10/21/2024","1,016.80","1,025.50","1,035.40","1,014.00","24.89K","-0.75%"
"10/18/2024","1,024.50","1,005.30","1,027.60","1,000.80","24.33K","1.86%"
"10/17/2024","1,005.80","1,006.10","1,022.90","1,000.10","25.30K","0.32%"
"10/16/2024","1,002.60","995.20","1,012.50","994.80","19.32K","0.60%"
"10/15/2024","996.60","1,003.30","1,009.30","983.70","21.31K","-0.75%"
"10/14/2024","1,004.10","991.90","1,009.90","976.90","30.74K","0.98%"
"10/11/2024","994.40","981.10","996.70","980.00","18.32K","1.86%"
"10/10/2024","976.20","960.60","983.30","959.50","25.24K","1.97%"
"10/09/2024","957.30","965.90","969.40","953.00","22.00K","-0.49%"
"10/08/2024","962.00","985.60","988.30","961.00","29.53K","-2.54%"
"10/07/2024","987.10","1,001.90","1,006.90","980.90","21.55K","-1.46%"
"10/04/2024","1,001.70","1,004.60","1,018.90","999.40","22.51K","-0.39%"
"10/03/2024","1,005.60","1,020.10","1,022.00","990.10","22.44K","-1.10%"
"10/02/2024","1,016.80","1,002.90","1,025.80","996.20","21.75K","1.58%"
"10/01/2024","1,001.00","991.60","1,013.30","987.90","22.64K","1.00%"
"09/30/2024","991.10","1,015.90","1,020.40","982.10","27.68K","-3.02%"
"09/27/2024","1,022.00","1,024.90","1,030.60","1,008.60","24.41K","0.18%"
"09/26/2024","1,020.20","998.30","1,025.20","996.00","0.23K","1.89%"
"09/25/2024","1,001.30","1,001.70","1,010.00","990.50","25.19K","0.28%"
"09/24/2024","998.50","972.10","1,002.10","970.60","23.29K","2.61%"
"09/23/2024","973.10","991.40","991.40","966.20","23.28K","-1.91%"
"09/20/2024","992.00","998.60","1,007.80","986.40","15.78K","-1.18%"
"09/19/2024","1,003.80","982.90","1,005.90","976.20","10.90K","2.00%"
"09/18/2024","984.10","996.10","999.30","977.50","10.60K","-0.81%"
"09/17/2024","992.10","998.70","1,004.60","990.50","7.75K","-0.54%"
"09/16/2024","997.50","1,010.00","1,018.10","994.50","6.65K","-1.86%"
"09/13/2024","1,016.40","993.40","1,018.20","993.40","9.81K","2.46%"
"09/12/2024","992.00","969.00","995.00","966.50","8.95K","2.66%"
"09/11/2024","966.30","955.10","970.50","944.70","7.68K","1.23%"
"09/10/2024","954.60","956.40","962.00","949.80","5.85K","-0.24%"
"09/09/2024","956.90","933.40","958.00","933.10","7.37K","2.99%"
"09/06/2024","929.10","940.10","952.00","926.30","4.09K","-1.23%"
"09/05/2024","940.70","920.10","948.10","919.00","4.73K","2.38%"
"09/04/2024","918.80","920.90","927.20","912.50","4.38K","-0.15%"
"09/03/2024","920.20","941.50","945.00","913.60","5.09K","-1.06%"
"09/02/2024","930.05","931.80","934.60","925.60","","-0.19%"
"09/01/2024","931.85","930.90","932.35","930.25","","-1.14%"
"08/30/2024","942.60","954.40","963.80","939.70","2.31K","-1.47%"
"08/29/2024","956.70","948.50","962.80","946.30","2.09K","1.56%"
"08/28/2024","942.00","967.00","967.60","933.80","25.15K","-3.23%"
"08/27/2024","973.40","979.50","979.70","968.50","1.97K","-1.00%"
"08/26/2024","983.20","980.50","997.00","975.40","2.56K","0.70%"
"08/23/2024","976.40","963.30","980.60","957.40","1.57K","1.30%"
"08/22/2024","963.90","984.10","985.20","955.10","1.42K","-1.94%"
"08/21/2024","983.00","966.80","989.80","965.80","1.23K","1.76%"
"08/20/2024","966.00","976.10","981.90","964.60","1.00K","-0.72%"
"08/19/2024","973.00","973.30","977.00","961.40","0.85K","0.08%"
"08/16/2024","972.20","972.40","974.10","959.50","0.90K","-0.22%"
"08/15/2024","974.30","941.70","979.00","938.60","1.74K","3.66%"
"08/14/2024","939.90","955.60","961.00","937.40","1.36K","-1.62%"
"08/13/2024","955.40","958.00","958.70","948.00","0.88K","-0.14%"
"08/12/2024","956.70","940.60","964.60","936.70","1.07K","1.75%"
"08/09/2024","940.20","952.40","959.40","937.20","1.31K","-1.01%"
"08/08/2024","949.80","932.40","954.40","931.30","1.86K","1.06%"
"08/07/2024","939.80","929.60","948.60","926.20","1.70K","0.95%"
"08/06/2024","931.00","929.70","943.40","924.20","1.96K","0.54%"
"08/05/2024","926.00","974.90","977.80","922.60","5.21K","-5.36%"
"08/02/2024","978.40","984.40","995.40","972.80","1.52K","-0.39%"
"08/01/2024","982.20","999.50","999.80","978.80","1.19K","-1.61%"
"07/31/2024","998.30","984.60","1,000.60","983.50","1.20K","1.59%"
"07/30/2024","982.70","971.60","985.20","968.10","1.43K","2.62%"
"07/29/2024","957.60","946.30","964.60","946.20","20.24K","1.40%"
"07/26/2024","944.40","943.30","949.60","934.70","18.62K","-0.14%"
"07/25/2024","945.70","962.10","962.10","936.70","27.43K","-2.46%"
"07/24/2024","969.60","956.50","973.40","951.60","28.61K","1.44%"
"07/23/2024","955.80","960.40","968.50","951.00","22.48K","-0.08%"
"07/22/2024","956.60","975.00","983.80","950.40","30.58K","-1.78%"
"07/19/2024","973.90","981.90","983.10","963.50","28.93K","-1.23%"
"07/18/2024","986.00","1,010.00","1,022.60","976.00","34.17K","-2.19%"
"07/17/2024","1,008.10","1,016.30","1,042.20","1,006.10","36.48K","-0.34%"
"07/16/2024","1,011.50","1,011.10","1,016.20","990.70","25.41K","0.05%"
"07/15/2024","1,011.00","1,015.50","1,026.20","995.80","27.44K","-0.23%"
"07/12/2024","1,013.30","1,019.10","1,020.00","998.10","18.00K","-0.11%"
"07/11/2024","1,014.40","1,008.40","1,024.60","995.20","25.14K","0.76%"
"07/10/2024","1,006.70","1,000.90","1,013.10","995.10","18.28K","0.77%"
"07/09/2024","999.00","1,016.00","1,024.20","992.10","25.88K","-1.43%"
"07/08/2024","1,013.50","1,044.70","1,044.70","1,011.10","27.21K","-3.11%"
"07/05/2024","1,046.00","1,011.60","1,049.80","1,011.10","37.10K","3.05%"
"07/04/2024","1,015.05","1,014.70","1,029.30","1,013.15","","0.16%"
"07/03/2024","1,013.40","1,013.10","1,025.00","1,004.60","20.12K","0.42%"
"07/02/2024","1,009.20","993.40","1,018.40","987.50","23.47K","2.07%"
"07/01/2024","988.70","1,009.80","1,012.80","986.10","25.64K","-2.50%"
"06/28/2024","1,014.10","1,005.40","1,031.40","999.50","32.57K","0.79%"
"06/27/2024","1,006.20","1,030.10","1,031.00","1,000.80","31.99K","-2.73%"
"06/26/2024","1,034.40","992.40","1,028.20","989.90","0.20K","3.54%"
"06/25/2024","999.00","1,013.50","1,020.40","995.80","18.96K","-1.46%"
"06/24/2024","1,013.80","1,007.90","1,024.60","1,000.20","16.55K","0.57%"
"06/21/2024","1,008.10","997.00","1,017.10","990.70","19.44K","1.14%"
"06/20/2024","996.70","990.80","1,005.30","985.30","20.06K","1.57%"
"06/19/2024","981.30","978.25","987.95","974.60","","-0.89%"
"06/18/2024","990.10","989.90","994.60","975.00","12.04K","0.67%"
"06/17/2024","983.50","975.90","988.70","962.30","6.60K","1.30%"
"06/14/2024","970.90","968.20","975.90","960.40","6.24K","0.33%"
"06/13/2024","967.70","975.10","976.40","959.70","10.58K","-1.74%"
"06/12/2024","984.80","973.60","991.60","966.00","8.05K","1.28%"
"06/11/2024","972.40","990.10","990.10","967.30","5.44K","-1.82%"
"06/10/2024","990.40","986.20","994.70","982.00","4.63K","0.61%"
"06/07/2024","984.40","1,026.40","1,029.50","981.20","5.67K","-3.95%"
"06/06/2024","1,024.90","1,016.80","1,029.20","1,010.70","2.70K","1.13%"
"06/05/2024","1,013.40","1,010.80","1,019.10","1,001.80","3.70K","0.47%"
"06/04/2024","1,008.70","1,038.20","1,042.30","1,006.60","3.37K","-2.61%"
"06/03/2024","1,035.70","1,055.90","1,066.60","1,033.50","3.13K","-1.73%"
"05/31/2024","1,053.90","1,047.80","1,070.20","1,038.20","2.21K","0.32%"
"05/30/2024","1,050.50","1,059.10","1,062.00","1,041.50","2.91K","-0.20%"
"05/29/2024","1,052.60","1,071.90","1,071.90","1,043.20","23.20K","-2.46%"
"05/28/2024","1,079.20","1,052.00","1,087.60","1,048.70","2.46K","1.35%"
"05/27/2024","1,064.85","1,038.60","1,067.80","1,038.15","","2.53%"
"05/26/2024","1,038.55","1,035.50","1,041.25","1,035.50","","-1.15%"
"05/24/2024","1,050.60","1,038.00","1,053.40","1,034.70","1.81K","0.75%"
"05/23/2024","1,042.80","1,059.60","1,062.60","1,038.70","1.84K","-1.82%"
"05/22/2024","1,062.10","1,072.50","1,079.80","1,055.80","1.04K","-0.99%"
"05/21/2024","1,072.70","1,072.00","1,082.30","1,050.90","1.41K","-0.23%"
"05/20/2024","1,075.20","1,105.50","1,116.40","1,069.10","2.57K","-2.30%"
"05/17/2024","1,100.50","1,084.60","1,110.90","1,073.20","1.65K","1.69%"
"05/16/2024","1,082.20","1,087.30","1,101.20","1,069.60","1.91K","0.17%"
"05/15/2024","1,080.40","1,056.60","1,088.60","1,056.40","2.01K","2.54%"
"05/14/2024","1,053.60","1,021.20","1,057.60","1,020.30","2.15K","3.24%"
"05/13/2024","1,020.50","1,018.10","1,035.10","1,010.80","1.84K","0.31%"
"05/10/2024","1,017.30","1,004.30","1,018.40","1,004.20","1.64K","1.58%"
"05/09/2024","1,001.50","996.00","1,008.10","993.20","1.41K","0.62%"
"05/08/2024","995.30","999.60","1,001.30","983.10","1.05K","-0.36%"
"05/07/2024","998.90","978.40","1,003.10","972.50","2.20K","2.33%"
"05/06/2024","976.20","980.00","989.90","968.20","0.86K","-0.06%"
"05/03/2024","976.80","975.20","990.60","969.00","0.91K","0.28%"
"05/02/2024","974.10","976.80","982.40","963.40","0.95K","0.82%"
"05/01/2024","966.20","957.00","978.40","955.00","0.82K","0.65%"
"04/30/2024","960.00","970.30","972.10","952.00","1.09K","-1.28%"
"04/29/2024","972.40","938.00","975.70","935.60","2.12K","5.45%"
"04/26/2024","922.10","926.20","934.20","919.30","24.26K","0.17%"
"04/25/2024","920.50","913.30","927.20","905.50","32.87K","0.51%"
"04/24/2024","915.80","921.20","929.60","911.00","31.81K","-0.76%"
"04/23/2024","922.80","932.00","933.00","910.40","37.74K","-0.91%"
"04/22/2024","931.30","944.00","946.90","925.60","27.37K","-1.32%"
"04/19/2024","943.80","949.40","960.30","936.50","27.95K","-1.12%"
"04/18/2024","954.50","953.50","961.90","944.00","25.91K","0.03%"
"04/17/2024","954.20","971.50","974.00","952.00","28.86K","-2.15%"
"04/16/2024","975.20","985.20","987.70","968.90","31.07K","-0.59%"
"04/15/2024","981.00","992.70","998.70","972.00","31.02K","-2.07%"
"04/12/2024","1,001.70","996.00","1,020.50","987.50","44.90K","1.39%"
"04/11/2024","988.00","977.60","996.10","974.20","28.98K","1.19%"
"04/10/2024","976.40","991.90","997.40","971.30","43.64K","-0.78%"
"04/09/2024","984.10","977.40","1,001.20","976.50","38.67K","0.99%"
"04/08/2024","974.50","940.50","980.70","931.70","44.42K","3.60%"
"04/05/2024","940.60","946.60","947.50","926.90","32.50K","-1.26%"
"04/04/2024","952.60","953.30","958.20","942.10","31.52K","0.64%"
"04/03/2024","946.50","937.50","953.20","927.80","30.75K","1.31%"
"04/02/2024","934.30","914.40","942.20","912.80","36.25K","2.51%"
"04/01/2024","911.40","922.70","928.70","905.00","26.10K","-1.26%"
"03/29/2024","923.00","923.00","923.00","923.00","","0.21%"
"03/28/2024","921.10","911.20","923.80","904.30","25.09K","1.25%"
"03/27/2024","909.70","917.30","919.80","900.20","29.11K","-0.89%"
"03/26/2024","917.90","911.30","915.40","907.00","0.23K","-0.12%"
"03/25/2024","919.00","907.90","925.50","906.80","24.80K","1.26%"
"03/22/2024","907.60","919.90","923.00","905.90","15.96K","-1.56%"
"03/21/2024","922.00","921.00","931.60","918.10","19.35K","1.51%"
"03/20/2024","908.30","907.50","923.10","900.90","14.81K","-0.23%"
"03/19/2024","910.40","928.90","928.90","905.30","16.29K","-2.10%"
"03/18/2024","929.90","950.40","951.40","927.70","8.90K","-2.35%"
"03/15/2024","952.30","940.10","967.00","937.70","6.62K","0.82%"
"03/14/2024","944.60","955.80","957.20","939.50","5.86K","-1.01%"
"03/13/2024","954.20","936.00","955.90","935.50","5.99K","1.79%"
"03/12/2024","937.40","951.00","951.00","924.80","6.65K","-1.28%"
"03/11/2024","949.60","926.50","953.50","926.20","6.64K","2.75%"
"03/08/2024","924.20","933.80","940.50","920.60","5.29K","-0.92%"
"03/07/2024","932.80","921.20","939.30","918.00","5.00K","1.00%"
"03/06/2024","923.60","895.50","925.50","894.30","3.89K","3.01%"
"03/05/2024","896.60","911.00","911.00","893.40","3.79K","-1.83%"
"03/04/2024","913.30","901.60","916.00","897.10","3.25K","1.79%"
"03/01/2024","897.20","891.90","902.20","879.80","4.03K","0.49%"
"02/29/2024","892.80","892.00","902.50","888.40","2.52K","-0.13%"
"02/28/2024","894.00","904.00","905.60","890.50","2.78K","-0.90%"
"02/27/2024","902.10","883.90","901.70","883.10","28.29K","1.34%"
"02/26/2024","890.20","913.70","914.90","889.10","3.21K","-3.04%"
"02/23/2024","918.10","916.20","919.50","902.70","1.72K","0.45%"
"02/22/2024","914.00","898.00","917.30","898.00","2.14K","1.76%"
"02/21/2024","898.20","921.00","923.60","896.10","1.79K","-2.61%"
"02/20/2024","922.30","920.80","928.50","909.30","2.18K","1.84%"
"02/19/2024","905.65","912.95","917.90","903.75","","-0.83%"
