"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2016","16.740","16.690","16.780","16.470","61.49K","0.95%"
"11/28/2016","16.583","16.560","16.850","16.435","66.69K","0.51%"
"11/25/2016","16.499","16.340","16.600","16.210","1.09K","0.18%"
"11/24/2016","16.470","16.375","16.575","16.150","91.69K","0.48%"
"11/23/2016","16.391","16.645","16.725","16.155","78.77K","-1.45%"
"11/22/2016","16.632","16.580","16.885","16.520","65.28K","0.67%"
"11/21/2016","16.521","16.600","16.755","16.505","56.23K","-0.62%"
"11/18/2016","16.624","16.670","16.745","16.430","79.49K","-0.88%"
"11/17/2016","16.772","16.960","17.080","16.575","71.54K","-0.92%"
"11/16/2016","16.927","17.085","17.235","16.855","61.53K","-0.68%"
"11/15/2016","17.043","16.920","17.135","16.820","69.76K","0.89%"
"11/14/2016","16.893","17.390","17.490","16.620","129.85K","-2.81%"
"11/11/2016","17.382","18.605","18.850","17.170","171.37K","-7.23%"
"11/10/2016","18.737","18.475","18.990","18.380","115.36K","1.95%"
"11/09/2016","18.378","18.400","19.005","18.275","156.62K","0.12%"
"11/08/2016","18.356","18.200","18.730","18.175","82.83K","1.13%"
"11/07/2016","18.151","18.270","18.290","18.005","60.42K","-1.20%"
"11/04/2016","18.371","18.360","18.480","18.185","56.40K","-0.24%"
"11/03/2016","18.416","18.500","18.645","17.995","81.28K","-1.48%"
"11/02/2016","18.693","18.375","18.750","18.360","78.45K","1.49%"
"11/01/2016","18.418","17.890","18.510","17.850","92.62K","3.50%"
"10/31/2016","17.796","17.800","17.925","17.755","48.49K","0.00%"
"10/28/2016","17.796","17.600","17.935","17.505","69.83K","0.89%"
"10/27/2016","17.639","17.615","17.725","17.545","44.88K","0.07%"
"10/26/2016","17.626","17.770","17.870","17.575","50.24K","-0.87%"
"10/25/2016","17.780","17.605","17.820","17.510","50.47K","1.00%"
"10/24/2016","17.604","17.520","17.890","17.465","62.96K","0.63%"
"10/21/2016","17.493","17.535","17.560","17.395","34.29K","-0.32%"
"10/20/2016","17.549","17.695","17.745","17.450","50.75K","-0.65%"
"10/19/2016","17.663","17.625","17.790","17.570","43.32K","0.14%"
"10/18/2016","17.638","17.460","17.730","17.455","58.37K","0.94%"
"10/17/2016","17.474","17.450","17.515","17.360","32.94K","0.19%"
"10/14/2016","17.441","17.525","17.600","17.315","53.58K","-0.10%"
"10/13/2016","17.458","17.515","17.705","17.430","49.80K","-0.27%"
"10/12/2016","17.505","17.495","17.640","17.380","45.85K","-0.02%"
"10/11/2016","17.509","17.660","17.855","17.465","59.88K","-0.85%"
"10/10/2016","17.659","17.600","17.840","17.570","58.02K","1.61%"
"10/07/2016","17.380","17.345","17.685","17.115","88.86K","0.20%"
"10/06/2016","17.345","17.785","17.880","17.140","70.90K","-1.98%"
"10/05/2016","17.695","17.805","18.040","17.585","76.92K","-0.45%"
"10/04/2016","17.775","18.875","18.940","17.745","103.46K","-5.79%"
"10/03/2016","18.868","19.260","19.385","18.750","54.29K","-1.80%"
"09/30/2016","19.214","19.160","19.770","19.120","71.48K","0.14%"
"09/29/2016","19.188","19.255","19.460","19.050","54.07K","0.35%"
"09/28/2016","19.121","19.190","19.270","18.975","51.26K","-0.23%"
"09/27/2016","19.165","19.510","19.610","19.045","66.95K","-2.20%"
"09/26/2016","19.596","19.790","19.825","19.425","54.91K","-1.08%"
"09/23/2016","19.810","19.960","20.025","19.665","48.15K","-1.44%"
"09/22/2016","20.099","19.900","20.145","19.785","72.41K","1.67%"
"09/21/2016","19.768","19.320","19.955","19.070","86.74K","2.55%"
"09/20/2016","19.277","19.220","19.365","19.145","35.85K","-0.07%"
"09/19/2016","19.290","18.845","19.380","18.840","48.79K","2.27%"
"09/16/2016","18.862","19.060","19.085","18.715","42.33K","-0.94%"
"09/15/2016","19.041","19.020","19.280","18.875","46.09K","-0.13%"
"09/14/2016","19.066","18.940","19.175","18.845","37.25K","0.48%"
"09/13/2016","18.975","19.160","19.350","18.855","60.57K","-0.13%"
"09/12/2016","19.000","19.205","19.245","18.765","82.09K","-1.90%"
"09/09/2016","19.368","19.680","19.725","19.080","54.92K","-1.58%"
"09/08/2016","19.678","19.870","20.020","19.630","51.48K","-0.86%"
"09/07/2016","19.848","20.115","20.235","19.815","54.32K","-1.24%"
"09/06/2016","20.098","19.450","20.100","19.400","0.04K","-0.20%"
"09/05/2016","20.138","19.470","20.220","19.380","99.64K","3.99%"
"09/02/2016","19.366","18.955","19.535","18.825","69.38K","2.23%"
"09/01/2016","18.943","18.720","18.995","18.650","46.53K","1.26%"
"08/31/2016","18.707","18.660","18.930","18.600","43.36K","0.18%"
"08/30/2016","18.673","18.960","19.040","18.645","55.58K","-0.51%"
"08/29/2016","18.768","18.610","18.880","18.370","47.46K","0.63%"
"08/26/2016","18.651","18.490","19.035","18.470","83.39K","0.88%"
"08/25/2016","18.489","18.500","18.620","18.440","54.91K","-0.36%"
"08/24/2016","18.556","18.820","18.965","18.500","72.85K","-1.93%"
"08/23/2016","18.922","18.865","19.090","18.770","64.03K","0.33%"
"08/22/2016","18.859","19.250","19.250","18.710","91.31K","-2.37%"
"08/19/2016","19.317","19.775","19.800","19.220","81.21K","-2.14%"
"08/18/2016","19.740","19.695","19.940","19.625","71.17K","0.47%"
"08/17/2016","19.648","19.820","19.895","19.375","78.99K","-1.14%"
"08/16/2016","19.874","19.855","20.120","19.715","71.35K","0.14%"
"08/15/2016","19.847","19.755","20.050","19.700","44.25K","0.73%"
"08/12/2016","19.703","20.000","20.235","19.660","77.23K","-1.58%"
"08/11/2016","20.020","20.190","20.340","19.905","73.47K","-0.74%"
"08/10/2016","20.170","19.920","20.515","19.900","73.11K","1.61%"
"08/09/2016","19.850","19.750","19.900","19.605","44.73K","0.23%"
"08/08/2016","19.805","19.550","19.890","19.515","49.35K","-0.06%"
"08/05/2016","19.817","20.410","20.470","19.715","81.16K","-3.06%"
"08/04/2016","20.443","20.450","20.550","20.080","58.94K","-0.14%"
"08/03/2016","20.471","20.675","20.770","20.405","45.74K","-1.11%"
"08/02/2016","20.701","20.530","20.835","20.385","64.98K","0.98%"
"08/01/2016","20.500","20.410","20.695","20.335","57.83K","0.75%"
"07/29/2016","20.347","20.225","20.455","20.005","65.05K","0.77%"
"07/28/2016","20.192","20.420","20.585","20.155","64.91K","0.99%"
"07/27/2016","19.995","19.710","20.470","19.575","71.22K","1.59%"
"07/26/2016","19.683","19.625","19.800","19.490","33.53K","0.18%"
"07/25/2016","19.647","19.695","19.760","19.355","45.00K","-0.21%"
"07/22/2016","19.689","19.870","20.020","19.620","45.74K","-0.64%"
"07/21/2016","19.815","19.450","19.935","19.270","62.36K","1.03%"
